School,Enroll,In-State Cost,Out-State Cost,Address,Type,Acceptance Rate,SAT Total 25th-75th%,ACT Total 25th-75th%,Latitude,Longitude
Adelphi University,9397,49940.0,49940.0,"1 South Avenue, Garden City, NY 11530",Private,68%,1060-1250,21-27,40.720,-73.652
Albany College of Pharmacy and Health Sciences,1566,44046.0,44046.0,"106 New Scotland Avenue, Albany, NY 12208-3492",Private,75%,1130-1300,25-31,42.652,-73.779
Albany Medical College,844,0.0,0.0,"47 New Scotland Ave, Albany, NY 12208",Private,,,,42.654,-73.778
Alfred University,2617,40946.0,40946.0,"1 Saxon Drive, Alfred, NY 14802-1205",Private,70%,970-1200,21-27,42.254,-77.790
Bank Street College of Education,982,0.0,0.0,"610 W 112th St, New York, NY 10025",Private,,,,40.806,-73.967
Bard College,2574,64712.0,64712.0,"30 Campus Rd, Annandale-on-Hudson, NY 12504",Private,38%,1220-1420,27-32,42.026,-73.903
Barnard College,2696,63220.0,63220.0,"3009 Broadway, New York, NY 10027",Private,21%,1370-1500,31-34,40.809,-73.964
Boricua College,1516,11025.0,11025.0,"3755 Broadway, New York, NY 10032",Private,56%,,,40.833,-73.946
Briarcliffe College,2524,16197.0,16197.0,"1055 Stewart Avenue, Bethpage, NY 11714",Private,,,,40.760,-73.490
CUNY Baruch College,22774,28559.0,35369.0,"1 Bernard Baruch Way, New York, NY 10010",Public,27%,1170-1360,26-30,40.741,-73.984
CUNY Brooklyn College,21659,25124.0,31934.0,"2900 Bedford Avenue, Brooklyn, NY 11210",Public,34%,1020-1180,22-29,40.631,-73.952
CUNY City College,18723,27277.0,34087.0,"160 Convent Avenue, New York, NY 10031",Public,34%,1050-1260,23-31,40.818,-73.951
CUNY College of Staten Island,17574,29432.0,36242.0,"2800 Victory Boulevard, Staten Island, NY 10314",Public,100%,910-1100,,40.602,-74.150
CUNY Graduate School and University Center,8169,38558.0,45368.0,"365 Fifth Avenue, New York, NY 10016",Public,,,,41.104,-72.366
CUNY Hunter College,28711,20687.0,27497.0,"695 Park Avenue, New York, NY 10021",Public,31%,1170-1340,25-31,43.148,-77.577
CUNY John Jay College of Criminal Justice,18127,31770.0,38580.0,"524 West 59 Street, New York, NY 10019",Public,53%,1020-1160,21-25,40.768,-73.981
CUNY Lehman College,16782,25162.0,31972.0,"250 Bedford Park Boulevard W, Bronx, NY 10468",Public,25%,960-1080,,40.872,-73.895
CUNY Medgar Evers College,8777,7636.0,14446.0,"1650 Bedford Avenue, Brooklyn, NY 11225",Public,100%,750-925,,40.666,-73.958
CUNY New York City College of Technology,20986,7673.0,14483.0,"300 Jay Street, Brooklyn, NY 11201",Public,71%,843-1030,,40.695,-73.987
CUNY Queens College,24317,26287.0,33097.0,"65-30 Kissena Boulevard, Flushing, NY 11367",Public,37%,1040-1190,22-27,40.754,-73.823
CUNY York College,10812,7700.0,14510.0,"94-20 Guy R. Brewer Boulevard, Jamaica, NY 11451",Public,65%,870-1050,,40.702,-73.795
Canisius College,4958,49016.0,49016.0,"2001 Main Street, Buffalo, NY 14208-1098",Private,73%,1040-1240,21-27,42.925,-78.853
Cazenovia College,1225,45254.0,45254.0,"22 Sullivan Street, Cazenovia, NY 13035-1804",Private,78%,843-1100,15-22,42.932,-75.855
Clarkson University,4056,59922.0,59922.0,"8 Clarkson Avenue, Potsdam, NY 13699",Private,64%,1150-1350,24-30,44.664,-74.994
Colgate University,2997,62405.0,62405.0,"13 Oak Drive, Hamilton, NY 13346",Private,27%,1300-1460,30-33,42.818,-75.535
College of Mount Saint Vincent,2269,47235.0,47235.0,"6301 Riverdale Avenue, Riverdale, NY 10471",Private,91%,910-1090,17-22,40.906,-73.904
Columbia University in the City of New York,29732,66604.0,66604.0,"2960 Broadway, New York, NY 10027",Private,7%,1500-1560,34-35,40.808,-73.963
Cornell University,22448,63606.0,63606.0,"Ithaca, NY 14850",Private and Public,16%,1410-1530,32-35,42.452,-76.480
Culinary Institute of America,4243,42947.0,42947.0,"1946 Campus Drive, Hyde Park, NY 12538-1499",Private and Public,97%,,,41.745,-73.933
D'Youville College,3485,38282.0,38282.0,"320 Porter Ave, Buffalo, NY 14201",Private,79%,960-1150,19-24,42.903,-78.891
Daemen College,3177,39290.0,39290.0,"4380 Main Street, Amherst, NY 14226-3592",Private and Public,49%,,,42.964,-78.790
Davis College,462,21440.0,21440.0,"400 Riverside Dr, Johnson City, NY 13790",Private and Public,29%,850-1080,15-24,42.100,-75.962
Dominican University New York,2194,41032.0,41032.0,"470 Western Highway, Orangeburg, NY 10962-1210",Private and Public,72%,940-1120,17-24,41.054,-73.952
Elmira College,1645,51100.0,51100.0,"1 Park Place, Elmira, NY 14901",Private,80%,1020-1260,17-27,42.097,-76.815
Farmingdale State College,11381,22873.0,32523.0,"2350 Broadhollow Road, Farmingdale, NY 11735-1021",Public,51%,990-1150,19-24,40.753,-73.422
Fashion Institute of Technology,12044,23882.0,35522.0,"Seventh Avenue at 27th Street, New York, NY 10001-5992",Public,45%,,,40.747,-73.995
Five Towns College,814,39170.0,39170.0,"305 N. Service Road, Dix Hills, NY 11746-5871",Private,55%,770-1000,18-20,40.794,-73.369
Fordham University,17522,64945.0,64945.0,"113 W. 60th Street, New York, NY 10023",Private,47%,1300-1450,29-33,40.859,-73.882
Hamilton College,2046,61770.0,61770.0,"198 College Hill Road, Clinton, NY 13323",Private,27%,1410-1500,32-34,43.054,-75.405
Hartwick College,1595,52270.0,52270.0,"1 Hartwick Drive, Oneonta, NY 13820-4020",Private,84%,1020-1180,20-25,42.460,-75.070
Hilbert College,1671,30340.0,30340.0,"5200 S. Park Avenue, Hamburg, NY 14075-1597",Private,92%,,,42.755,-78.821
Hobart and William Smith Colleges,2447,62034.0,62034.0,"337 Pulteney Street, Geneva, NY 14456",Private,50%,1180-1340,26-30,42.858,-76.985
Hofstra University,12051,56046.0,56046.0,"100 Hofstra University, Hempstead, NY 11549",Private,59%,1160-1340,25-30,40.716,-73.601
