School,Enroll,In-State Cost,Out-State Cost,Address,Type,Acceptance Rate,SAT Total 25th-75th%,ACT Total 25th-75th%
Adelphi University,9397,49940.0,49940.0,"1 South Avenue, Garden City, NY 11530",Private,68%,,
Albany College of Pharmacy and Health Sciences,1566,44046.0,44046.0,"106 New Scotland Avenue, Albany, NY 12208-3492",Private,,,
Albany Medical College,844,0.0,0.0,"47 New Scotland Ave, Albany, NY 12208",Private,,,
Alfred University,2617,40946.0,40946.0,"1 Saxon Drive, Alfred, NY 14802-1205",Private,70%,,
Bank Street College of Education,982,0.0,0.0,"610 W 112th St, New York, NY 10025",Private,,,
Bard College,2574,64712.0,64712.0,"30 Campus Rd, Annandale-on-Hudson, NY 12504",Private,38%,1220–1420,27–32
Barnard College,2696,63220.0,63220.0,"3009 Broadway, New York, NY 10027",Private,21%,1370–1500,31–34
Boricua College,1516,11025.0,11025.0,"3755 Broadway, New York, NY 10032",Private,56%,,
Briarcliffe College,2524,16197.0,16197.0,"1055 Stewart Avenue, Bethpage, NY 11714",Private,,,
CUNY Baruch College,22774,28559.0,35369.0,"1 Bernard Baruch Way, New York, NY 10010",Public,27%,,
CUNY Brooklyn College,21659,25124.0,31934.0,"2900 Bedford Avenue, Brooklyn, NY 11210",Public,34%,,
CUNY City College,18723,27277.0,34087.0,"160 Convent Avenue, New York, NY 10031",Public,34%,,
CUNY College of Staten Island,17574,29432.0,36242.0,"2800 Victory Boulevard, Staten Island, NY 10314",Public,100%,,
CUNY Graduate School and University Center,8169,38558.0,45368.0,,Public,,,
CUNY Hunter College,28711,20687.0,27497.0,"695 Park Avenue, New York, NY 10021",Public,31%,,
CUNY John Jay College of Criminal Justice,18127,31770.0,38580.0,"524 West 59 Street, New York, NY 10019",Public,53%,,
CUNY Lehman College,16782,25162.0,31972.0,"250 Bedford Park Boulevard W, Bronx, NY 10468",Public,25%,,
CUNY Medgar Evers College,8777,7636.0,14446.0,"1650 Bedford Avenue, Brooklyn, NY 11225",Public,100%,,
CUNY New York City College of Technology,20986,7673.0,14483.0,"300 Jay Street, Brooklyn, NY 11201",Public,71%,,
CUNY Queens College,24317,26287.0,33097.0,"65-30 Kissena Boulevard, Flushing, NY 11367",Public,37%,,
CUNY York College,10812,7700.0,14510.0,"94-20 Guy R. Brewer Boulevard, Jamaica, NY 11451",Public,65%,,
Canisius College,4958,49016.0,49016.0,"2001 Main Street, Buffalo, NY 14208-1098",Private,73%,,
Cazenovia College,1225,45254.0,45254.0,"22 Sullivan Street, Cazenovia, NY 13035-1804",Private,78%,,
Christ the King Seminary,114,0.0,0.0,"711 Knox Rd, East Aurora, NY 14052",Private,,,
Clarkson University,4056,59922.0,59922.0,"8 Clarkson Avenue, Potsdam, NY 13699",Private,64%,,
Colgate University,2997,62405.0,62405.0,"13 Oak Drive, Hamilton, NY 13346",Private,27%,1300–1460,30–33
College of Mount Saint Vincent,2269,47235.0,47235.0,"6301 Riverdale Avenue, Riverdale, NY 10471",Private,91%,,
