School,City,Enroll,In-State Cost,Out-State Cost
Adelphi University,Garden City,"9,397","$49,940.00 ","$49,940.00 "
Albany College of Pharmacy and Health Sciences,Albany,"1,566","$44,046.00 ","$44,046.00 "
Albany Law School,Albany,490,-,-
Albany Medical College,Albany,844,-,-
Alfred University,Alfred,"2,617","$40,946.00 ","$40,946.00 "
American Musical and Dramatic Academy,New York,"2,344","$48,020.00 ","$48,020.00 "
Bais Medrash Elyon,Monsey,138,"$14,600.00 ","$14,600.00 "
Bank Street College of Education,New York,982,-,-
Bard College,Annandale-On-Hudson,"2,574","$64,712.00 ","$64,712.00 "
Barnard College,New York,"2,696","$63,220.00 ","$63,220.00 "
Be'er Yaakov Talmudic Seminary,Spring Valley,417,"$16,750.00 ","$16,750.00 "
Beis Medrash Heichal Dovid,Far Rockaway,115,"$17,100.00 ","$17,100.00 "
Berkeley College-New York,New York,"6,416","$24,081.00 ","$24,081.00 "
Beth Hamedrash Shaarei Yosher Institute,Brooklyn,47,"$8,300.00 ","$8,300.00 "
Beth Hatalmud Rabbinical College,Brooklyn,45,"$7,800.00 ","$7,800.00 "
Boricua College,New York,"1,516","$11,025.00 ","$11,025.00 "
Briarcliffe College,Bethpage,"2,524","$16,197.00 ","$16,197.00 "
Brooklyn Law School,Brooklyn,"1,167",-,-
Bryant and Stratton College-Albany,Albany,820,"$17,173.00 ","$17,173.00 "
Bryant and Stratton College-Amherst,Getzville,663,"$16,702.00 ","$16,702.00 "
Bryant and Stratton College-Buffalo,Buffalo,"1,355","$17,175.00 ","$17,175.00 "
Bryant and Stratton College-Greece,Rochester,839,"$17,104.00 ","$17,104.00 "
Bryant and Stratton College-Online,Orchard Park,"9,609","$15,143.00 ","$15,143.00 "
Bryant and Stratton College-Southtowns,Orchard Park,771,"$16,644.00 ","$16,644.00 "
Bryant and Stratton College-Syracuse North,Liverpool,716,"$16,670.00 ","$16,670.00 "
CUNY Baruch College,New York,"22,774","$28,559.00 ","$35,369.00 "
CUNY Brooklyn College,Brooklyn,"21,659","$25,124.00 ","$31,934.00 "
CUNY City College,New York,"18,723","$27,277.00 ","$34,087.00 "
CUNY College of Staten Island,Staten Island,"17,574","$29,432.00 ","$36,242.00 "
CUNY Graduate School and University Center,New York,"8,169","$38,558.00 ","$45,368.00 "
CUNY Hunter College,New York,"28,711","$20,687.00 ","$27,497.00 "
CUNY John Jay College of Criminal Justice,New York,"18,127","$31,770.00 ","$38,580.00 "
CUNY Lehman College,Bronx,"16,782","$25,162.00 ","$31,972.00 "
CUNY Medgar Evers College,Brooklyn,"8,777","$7,636.00 ","$14,446.00 "
CUNY New York City College of Technology,Brooklyn,"20,986","$7,673.00 ","$14,483.00 "
CUNY Queens College,Flushing,"24,317","$26,287.00 ","$33,097.00 "
CUNY School of Law at Queens College,Long Island City,345,-,-
